iter	MultiLogloss
525	0.421709546
526	0.4215661785
527	0.4213670396
528	0.4212029731
529	0.4210066909
530	0.420865255
531	0.4207148466
532	0.4205743807
533	0.4204344
534	0.4202393701
535	0.4200863501
536	0.4199475997
537	0.4198063846
538	0.4196379262
539	0.4195007385
540	0.4192947574
541	0.4190971559
542	0.418926117
543	0.4187798087
544	0.4186448909
545	0.4184340613
546	0.4182585925
547	0.4180600389
548	0.4178695037
549	0.4176719544
550	0.4174866098
551	0.4173009301
552	0.4171385453
553	0.417007663
554	0.4168092279
555	0.4166151608
556	0.4164568767
557	0.41632756
558	0.4161269798
559	0.4159646554
560	0.4157699372
561	0.4156422903
562	0.4154416094
563	0.415312524
564	0.4151324754
565	0.4149498592
566	0.4147698004
567	0.4146446183
568	0.4144552139
569	0.4142799019
570	0.4141029827
571	0.4139435936
572	0.4138105644
573	0.4136263236
574	0.4134463476
575	0.4132831983
576	0.4130973458
577	0.4128906375
578	0.4127609203
579	0.4126230607
580	0.4124467899
581	0.4123047244
582	0.4121852884
583	0.41199947
584	0.4118246406
585	0.4117063337
586	0.4115378803
587	0.4113876489
588	0.4112467281
589	0.4110799472
590	0.4109635259
591	0.4107579227
592	0.410591739
593	0.4104696778
594	0.4102969159
595	0.4101222073
596	0.4099492206
597	0.4097733971
598	0.4095807502
599	0.4094162789
600	0.4092978162
601	0.4091243131
602	0.408954676
603	0.4087927105
604	0.4086174847
605	0.4085063114
606	0.4083858251
607	0.4082299763
608	0.4081198412
609	0.4080078498
610	0.4078493546
611	0.4076741305
612	0.4074875981
613	0.4073054286
614	0.4071311792
615	0.4069568545
616	0.4067991514
617	0.4066348737
618	0.4064760921
619	0.4063696155
620	0.406188888
621	0.4060352335
622	0.4058669977
623	0.4056918212
624	0.4055869487
625	0.4054053871
626	0.4052563251
627	0.4051061942
628	0.4049336299
629	0.4047612772
630	0.4046021999
631	0.4044545039
632	0.4042878377
633	0.4041342908
634	0.4039864952
635	0.4038345648
636	0.4036984628
637	0.4035883876
638	0.4034021767
639	0.4033019026
640	0.4031868912
641	0.4030433875
642	0.4029000075
643	0.4027554613
644	0.4026132711
645	0.4024580916
646	0.4023066172
647	0.4021718591
648	0.4020200268
649	0.4018634646
650	0.4017238707
651	0.4015713168
652	0.4014217435
653	0.4012835418
654	0.4011317439
655	0.4010222832
656	0.4009089701
657	0.4007379405
658	0.4006016611
659	0.4004517557
660	0.4003162436
661	0.4001309776
662	0.400037375
663	0.3998845732
664	0.3997443979
665	0.3995972984
666	0.3995040136
667	0.3994118154
668	0.3992727757
669	0.3991332796
670	0.3989853406
671	0.3988936996
672	0.3987227537
673	0.3986112341
674	0.3984538855
675	0.3982867252
676	0.3981524879
677	0.3979867788
678	0.3978167133
679	0.397683151
680	0.397540546
681	0.3974168015
682	0.3972703812
683	0.397123244
684	0.3969695739
685	0.3968417027
686	0.3966980794
687	0.3965739338
688	0.3964266011
689	0.3962847665
690	0.3961690293
691	0.3960065592
692	0.3958732423
693	0.3957282532
694	0.3955827658
695	0.3954483953
696	0.3952809505
697	0.3951415145
698	0.3949687867
699	0.3948451312
700	0.3947031088
701	0.3945492625
702	0.3944073725
703	0.3942868673
704	0.3941281507
705	0.3939930077
706	0.393856683
707	0.3937197301
708	0.3935692615
709	0.3934288055
710	0.3933109935
711	0.3932295456
712	0.3930809867
713	0.3929563346
714	0.3928490015
715	0.3927314747
716	0.3925924845
717	0.3924579539
718	0.3923082668
719	0.3921589962
720	0.3920139806
721	0.3918670181
722	0.391713963
723	0.3915724672
724	0.3914363222
725	0.3913098584
726	0.3911641473
727	0.3910302856
728	0.3909056871
729	0.3907680283
730	0.3906561419
731	0.3905168475
732	0.3903886886
733	0.3902517649
734	0.3901411333
735	0.3899829378
736	0.3898491148
737	0.3897269111
738	0.3895707209
739	0.3894159185
740	0.3892727879
741	0.3891404223
742	0.3889856635
743	0.3888296668
744	0.3886912257
745	0.3885694624
746	0.3884177509
747	0.3882808587
748	0.3881610785
749	0.3880431228
750	0.3879130559
751	0.3877655836
752	0.3876365552
753	0.3875520974
754	0.3874035794
755	0.3872751682
756	0.3871362594
757	0.3870015221
758	0.3868686736
759	0.3867457472
760	0.3865860275
761	0.3864643015
762	0.3863379493
763	0.3862184648
764	0.3861098578
765	0.385958614
766	0.3857994232
767	0.3856523961
768	0.3855426272
769	0.3854270788
770	0.3852905387
771	0.3851748025
772	0.3850424043
773	0.3849143857
774	0.3847737391
775	0.3846650943
776	0.3845225205
777	0.3843895117
778	0.3843048381
779	0.3841844868
780	0.3840671339
781	0.3839261186
782	0.3837928247
783	0.3836689299
784	0.3835656547
785	0.3834265089
786	0.3832964516
787	0.3831846964
788	0.3830421974
789	0.3829037265
790	0.3827898646
791	0.3826712235
792	0.3825496921
793	0.3824165215
794	0.3823164683
795	0.3821959125
796	0.3820658066
797	0.3819447283
798	0.3818259138
799	0.381711226
800	0.3815821151
801	0.3814594152
802	0.3813444487
803	0.3812052425
804	0.3810887167
805	0.3809608713
806	0.3808361016
807	0.3807256767
808	0.3805904773
809	0.3804690251
810	0.3803281654
811	0.3801968569
812	0.3800770705
813	0.379948503
814	0.3798138716
815	0.3797076676
816	0.3795936772
817	0.3794626746
818	0.3793572258
819	0.3792253787
820	0.3790852561
821	0.3789637962
822	0.3788353847
823	0.3787274318
824	0.3785999929
825	0.3785070253
826	0.3783781772
827	0.3782629857
828	0.3781404516
829	0.3780197154
830	0.3778923281
831	0.3777743096
832	0.3776462805
833	0.3775356817
834	0.3774368144
835	0.3773137081
836	0.3771877614
837	0.3770585523
838	0.3769297215
839	0.3768280879
840	0.3767134718
841	0.3765792727
842	0.3764615693
843	0.3763487327
844	0.3762144759
845	0.3761120965
846	0.3759863129
847	0.3758703673
848	0.3757568758
849	0.3756515858
850	0.375524099
851	0.3754116972
852	0.3753153666
853	0.3752045153
854	0.3751026287
855	0.3749982115
856	0.3748825391
857	0.3747600627
858	0.3746407362
859	0.3745312556
860	0.3744166394
861	0.3743095453
862	0.3742040223
863	0.3740864547
864	0.373967494
865	0.3738486254
866	0.373739471
867	0.3736112656
868	0.3735008234
869	0.3734016483
870	0.3732895678
871	0.373171643
872	0.3730609071
873	0.3729425429
874	0.372822219
875	0.3727085332
876	0.3725933747
877	0.3725057319
878	0.3724002036
879	0.3723095474
880	0.372181572
881	0.3720656706
882	0.3719468008
883	0.3718292073
884	0.3717225606
885	0.3716090958
886	0.3715082743
887	0.3713920629
888	0.3712974145
889	0.3711817625
890	0.3710539703
891	0.3709497347
892	0.3708621511
893	0.370766331
894	0.3706559373
895	0.3705588954
896	0.3704692259
897	0.3703576483
898	0.3702641516
899	0.3701775066
900	0.3700849177
901	0.3699620819
902	0.369872949
903	0.3697851366
904	0.3696805034
905	0.3695683449
906	0.3694482316
907	0.3693470412
908	0.3692547676
909	0.3691456648
910	0.369053818
911	0.3689583099
912	0.368877197
913	0.3687807425
914	0.368694636
915	0.3685990785
916	0.368496011
917	0.3684102796
918	0.3683216019
919	0.3682319236
920	0.368144461
921	0.3680472943
922	0.3679510253
923	0.3678627701
924	0.3677697181
925	0.3676718664
926	0.3675673233
927	0.3674466833
928	0.3673430786
929	0.3672408406
930	0.3671387944
931	0.3670353777
932	0.3669315681
933	0.3668306334
934	0.3667452436
935	0.3666350517
936	0.3665367851
937	0.3664393512
938	0.366332456
939	0.3662266873
940	0.3661132264
941	0.3660230114
942	0.3659135054
943	0.3658120193
944	0.3657019647
945	0.365625449
946	0.3655235578
947	0.3654199962
948	0.3653339449
949	0.3652433607
950	0.3651372657
951	0.3650448676
952	0.3649569457
953	0.3648517622
954	0.3647653863
955	0.3646853516
956	0.3645894428
957	0.3644797951
958	0.3643690237
959	0.364284281
960	0.364199772
961	0.3641027588
962	0.3640122825
963	0.363911746
964	0.3638217332
965	0.3637156352
966	0.363631261
967	0.3635166812
968	0.3634270019
969	0.3633448576
970	0.363262205
971	0.3631738484
972	0.3630881686
973	0.3630046091
974	0.3629198626
975	0.3628331537
976	0.3627372352
977	0.3626363092
978	0.3625179514
979	0.3624140371
980	0.3623175087
981	0.362217304
982	0.362137299
983	0.3620589179
984	0.3619572572
985	0.361883898
986	0.3618004548
987	0.3617151241
988	0.3616404182
989	0.3615602939
990	0.361474364
991	0.3613901868
992	0.3612944117
993	0.3611933686
994	0.3610989569
995	0.3609993755
996	0.3609054955
997	0.3608198189
998	0.3607451689
999	0.3606711983
